Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,citescore2017,DOI,Link,Document Type,Access Type,Source,EID
"McNeil, B.I., Matear, R.J.",7102948986;57194438001;,Projected climate change impact on oceanic acidification,2006,Carbon Balance and Management,1,1,2,,,,12,,10.1186/1750-0680-1-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248401485&doi=10.1186%2f1750-0680-1-2&partnerID=40&md5=888281daf437001539eda3b4093a36d2,Article,Open Access,Scopus,2-s2.0-34248401485
"Bärring, L., Holt, T., Linderson, M.-L., Radziejewski, M., Moriondo, M., Palutikof, J.P.",6603581022;14050277300;6602615316;6506055191;55932484200;7003474329;,"Defining dry/wet spells for point observations, observed area averages, and regional climate model gridboxes in Europe",2006,Climate Research,31,1,,35,49,,12,,10.3354/cr031035,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746466514&doi=10.3354%2fcr031035&partnerID=40&md5=5f24f0b79789ca9cdfd8347785ad5692,Article,Open Access,Scopus,2-s2.0-33746466514
"Ma, J., Li, Y.-F.",55508633600;55929458700;,Interannual variation of persistent organic pollutants over the Great Lakes induced by tropical Pacific sea surface temperature anomalies,2006,Journal of Geophysical Research Atmospheres,111,4, D04302,,,,12,,10.1029/2005JD006014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645529500&doi=10.1029%2f2005JD006014&partnerID=40&md5=43e91d2bb59f281302081aff4855e397,Article,Open Access,Scopus,2-s2.0-33645529500
"Yasunaga, K., Yoshizaki, M., Wakazuki, Y., Muroi, C., Kurihara, K., Hashimoto, A., Kanada, S., Kato, T., Kusunoki, S., Oouchi, K., Yoshimura, H., Mizuta, R., Noda, A.",12144461400;7004390158;12143775300;12143985500;36870160800;14123161200;12143017100;8558968300;7102193013;13404664500;7402345338;13404531500;7101817295;,Changes in the Baiu frontal activity in the future climate simulated by super-high-resolution global and cloud-resolving regional climate models,2006,Journal of the Meteorological Society of Japan,84,1,,199,220,,12,,10.2151/jmsj.84.199,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646399466&doi=10.2151%2fjmsj.84.199&partnerID=40&md5=c5d9920ecd9359a8ba8190bd17428ca1,Article,Open Access,Scopus,2-s2.0-33646399466
"Nyenzi, B., Lefale, P.F.",13402664000;23106262500;,El niño southern oscillation (ENSQ) and global warming,2006,Advances in Geosciences,6,,,95,101,,12,,10.5194/adgeo-6-95-2006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646366450&doi=10.5194%2fadgeo-6-95-2006&partnerID=40&md5=7dc05c5645bc421bd0888d1bf1da768f,Article,Open Access,Scopus,2-s2.0-33646366450
"Donner, R., Witt, A.",23396313000;7103029949;,Characterisation of long-term climate change by dimension estimates of multivariate palaeoclimatic proxy data,2006,Nonlinear Processes in Geophysics,13,5,,485,497,,12,,10.5194/npg-13-485-2006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749027756&doi=10.5194%2fnpg-13-485-2006&partnerID=40&md5=294aa3397758d0acd6ddb96775d16fd0,Article,Open Access,Scopus,2-s2.0-33749027756
"Salati, E., dos Santos, Â.A., Klabin, I.",6701832283;7102178222;13411437300;,Temas ambientais relevantes,2006,Estudos Avancados,20,56,,107,127,,12,,10.1590/S0103-40142006000100009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646576862&doi=10.1590%2fS0103-40142006000100009&partnerID=40&md5=42c2318851abc7c3a150153edfc0fcda,Article,Open Access,Scopus,2-s2.0-33646576862
"Coelho, D., Ruth, M.",23476532300;7004435460;,Seeking a unified urban systems theory,2006,WIT Transactions on Ecology and the Environment,93,,,179,188,,12,,10.2495/SC060171,https://www.scopus.com/inward/record.uri?eid=2-s2.0-36148933314&doi=10.2495%2fSC060171&partnerID=40&md5=deecd291fda3d9f7f85c0c1f1d6d9197,Article,Open Access,Scopus,2-s2.0-36148933314
"Girardin, M.P., Tardif, J.C., Flannigan, M.D., Bergeron, Y.",6701761084;35402909400;7003528684;7006384506;,Forest Fire-Conducive Drought Variability in the Southern Canadian Boreal Forest and Associated Climatology Inferred from Tree Rings,2006,Canadian Water Resources Journal,31,4,,275,296,,12,,10.4296/cwrj3104275,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847726243&doi=10.4296%2fcwrj3104275&partnerID=40&md5=fb485d981fb99110f9320210935b1581,Article,Open Access,Scopus,2-s2.0-33847726243
"Woollings, T., Thuburn, J.",23011078700;7004093651;,Entropy sources in a dynamical core atmosphere model,2006,Quarterly Journal of the Royal Meteorological Society,132,614,,43,59,,12,,10.1256/qj.04.189,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644605448&doi=10.1256%2fqj.04.189&partnerID=40&md5=a205146c1c712e8e206e8f8644c088d3,Article,Open Access,Scopus,2-s2.0-33644605448
"May, J.-H.",23492820200;,Geomorphological indicators of large-scale climatic changes in the eastern bolivian lowlands [Indicateurs gèomorphologiques rèvèlateurs de changements climatiques á grande èchelle dans les basses terres de l’est de la Bolivie],2006,Geographica Helvetica,61,2,,120,134,,12,,10.5194/gh-61-120-2006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984414492&doi=10.5194%2fgh-61-120-2006&partnerID=40&md5=f404b84c94f9ba4fb1ba97b5e7f75a41,Article,Open Access,Scopus,2-s2.0-84984414492
"Leth, O.K., Middleton, J.F.",6507203443;7202764412;,A numerical study of the upwelling circulation off central Chile: Effects of remote oceanic forcing,2006,Journal of Geophysical Research: Oceans,111,12, C12003,,,,11,,10.1029/2005JC003070,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34447526440&doi=10.1029%2f2005JC003070&partnerID=40&md5=60dcec4f537fd905a25872fd6192d304,Article,Open Access,Scopus,2-s2.0-34447526440
"Gill, J.A., Watkinson, A.R., McWilliams, J.P., Côté, I.M.",7401976210;56711666600;8531561600;7005488549;,Opposing forces of aerosol cooling and El Niño drive coral bleaching on Caribbean reefs,2006,Proceedings of the National Academy of Sciences of the United States of America,103,49,,18870,18873,,11,,10.1073/pnas.0608470103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845486879&doi=10.1073%2fpnas.0608470103&partnerID=40&md5=fa26f5d19bcb56732403950409e7a38b,Article,Open Access,Scopus,2-s2.0-33845486879
"Fall, S., Semazzi, F.H.M., Niyogi, D.D.S., Anyah, R.O., Bowden, J.",15131276100;35618283200;7004949500;6505996875;7005302245;,The spatiotemporal climate variability over Senegal and its relationship to global climate,2006,International Journal of Climatology,26,14,,2057,2076,,11,,10.1002/joc.1355,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34147190589&doi=10.1002%2fjoc.1355&partnerID=40&md5=7b992ce3a48aacbdabb607945ef08079,Article,Open Access,Scopus,2-s2.0-34147190589
"Nadiga, B.T., Taylor, M., Lorenz, J.",6603375472;7406243250;7201873683;,"Ocean modelling for climate studies: Eliminating short time scales in long-term, high-resolution studies of ocean circulation",2006,Mathematical and Computer Modelling,44,9-10,,870,886,,11,,10.1016/j.mcm.2006.02.021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745989892&doi=10.1016%2fj.mcm.2006.02.021&partnerID=40&md5=1c0b6340769b29e8081868311bf61f5c,Article,Open Access,Scopus,2-s2.0-33745989892
"De Sales, F., Xue, Y.",6602628253;7402270607;,Investigation of seasonal prediction of the South American regional climate using the nested model system,2006,Journal of Geophysical Research Atmospheres,111,20, D20107,,,,11,,10.1029/2005JD006989,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845603968&doi=10.1029%2f2005JD006989&partnerID=40&md5=c5ffe8b55884478c6d9792637094dc1d,Article,Open Access,Scopus,2-s2.0-33845603968
"Diem, J.E., Brown, D.P.",7003536471;55738801400;,Tropospheric moisture and monsoonal rainfall over the southwestern United States,2006,Journal of Geophysical Research Atmospheres,111,16, D16112,,,,11,,10.1029/2005JD006836,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847091283&doi=10.1029%2f2005JD006836&partnerID=40&md5=06636fb283412f9426f52b3bc8766a8f,Article,Open Access,Scopus,2-s2.0-33847091283
"Bay, R.C., Bramall, N.E., Price, P.B., Clow, G.D., Hawley, R.L., Udisti, R., Castellano, E.",35236144400;10340627700;55665123200;6603418508;12804016800;7003745922;7006414741;,Globally synchronous ice core volcanic tracers and abrupt cooling during the last glacial period,2006,Journal of Geophysical Research Atmospheres,111,11, D11108,,,,11,,10.1029/2005JD006306,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746503602&doi=10.1029%2f2005JD006306&partnerID=40&md5=47d1c5fd80ae3beb7164ed44f3a76f52,Article,Open Access,Scopus,2-s2.0-33746503602
"Popp, M., Edwards, J., Manning, P., Purcell, L.C.",36081244700;26032065400;36747762100;7006966564;,Plant population density and maturity effects on profitability of short-season maize production in the Midsouthern USA,2006,Agronomy Journal,98,3,,760,765,,11,,10.2134/agronj2005.0201,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646801569&doi=10.2134%2fagronj2005.0201&partnerID=40&md5=e083dcacaed1090d1543f834023fff19,Article,Open Access,Scopus,2-s2.0-33646801569
"Achberger, C., Chen, D., Alexandersson, H.",6602962994;8284622100;6602466905;,The surface winds of Sweden during 1999-2000,2006,International Journal of Climatology,26,2,,159,178,,11,,10.1002/joc.1254,https://www.scopus.com/inward/record.uri?eid=2-s2.0-32544433922&doi=10.1002%2fjoc.1254&partnerID=40&md5=864997771334fd99408e1d435f5a6df8,Article,Open Access,Scopus,2-s2.0-32544433922
"Wahl, D.C.",16302270800;,Bionics vs. biomimicry: From control of nature to sustainable participation in nature,2006,WIT Transactions on Ecology and the Environment,87,,,289,298,,11,,10.2495/DN060281,https://www.scopus.com/inward/record.uri?eid=2-s2.0-36148934888&doi=10.2495%2fDN060281&partnerID=40&md5=59e2a65f91705a9f3879d4322cf9a9ba,Article,Open Access,Scopus,2-s2.0-36148934888
"Gilman, S.E., Harley, C.D.G., Strickland, D.C., Vanderstraeten, O., O'Donnell, M.J., Helmuth, B.",8054365700;7102684397;36923437300;24339206400;35303400900;57203229492;,Evaluation of effective shore level as a method of characterizing intertidal wave exposure regimes,2006,Limnology and Oceanography: Methods,4,11,,448,457,,10,,10.4319/lom.2006.4.448,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34347371817&doi=10.4319%2flom.2006.4.448&partnerID=40&md5=493e1095bef4b31a3d935a5003fb1d49,Article,Open Access,Scopus,2-s2.0-34347371817
"Frisius, T.",6603279436;,Surface-flux-induced tropical cyclogenesis within an axisymmetric atmospheric balanced model,2006,Quarterly Journal of the Royal Meteorological Society,132,621,,2603,2623,,10,,10.1256/qj.06.03,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846866225&doi=10.1256%2fqj.06.03&partnerID=40&md5=c800159d9f36f1509ba62184bace3fc5,Article,Open Access,Scopus,2-s2.0-33846866225
"Maturilli, M., Dörnbrack, A.",8909993500;55895104800;,Polar stratospheric ice cloud above Spitsbergen,2006,Journal of Geophysical Research Atmospheres,111,18, D18210,,,,10,,10.1029/2005JD006967,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547694628&doi=10.1029%2f2005JD006967&partnerID=40&md5=0913bcc1a3df3f19d04fed395a43e049,Article,Open Access,Scopus,2-s2.0-34547694628
"Araki, R., Yamanaka, M.D., Murata, F., Hashiguchi, H., Oku, Y., Sribimawati, T., Kudsy, M., Renggono, F.",14519137000;7201926991;7004315126;7004372407;14519798200;6602272789;6602489366;15751749200;,"Seasonal and interannual variations of diurnal cycles of wind and cloud activity observed at Serpong, west Jawa, Indonesia",2006,Journal of the Meteorological Society of Japan,84,SPEC. ISS.,,171,194,,10,,10.2151/jmsj.84A.171,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748444900&doi=10.2151%2fjmsj.84A.171&partnerID=40&md5=1407d445705a38024c1549e979eb52c9,Article,Open Access,Scopus,2-s2.0-33748444900
"Hu, Z.-Z., Huang, B.",7404211378;7403681584;,On the significance of the relationship between the North Atlantic Oscillation in early winter and Atlantic sea surface temperature anomalies,2006,Journal of Geophysical Research Atmospheres,111,12, D12103,,,,10,,10.1029/2005JD006339,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750628301&doi=10.1029%2f2005JD006339&partnerID=40&md5=5b7518fbaa6dc97a5e992684eded8104,Article,Open Access,Scopus,2-s2.0-33750628301
"Koocheki, A., Nassiri, M., Soltani, A., Sharifi, H., Ghorbani, R.",57192928339;13403291600;55568550900;57193233563;8327418500;,Effects of climate change on growth criteria and yield of sunflower and chickpea crops in Iran,2006,Climate Research,30,3,,247,253,,10,,10.3354/cr030247,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646814003&doi=10.3354%2fcr030247&partnerID=40&md5=66d24686d27742c86e1e33815b52db3b,Article,Open Access,Scopus,2-s2.0-33646814003
"Merz, J., Dangol, P.M., Dhakal, M.P., Dongol, B.S., Weingartner, R.",7103310598;9639215800;9640002800;9639697200;7003431919;,"Rainfall amount and intensity in a rural catchment of the middle mountains, Nepal",2006,Hydrological Sciences Journal,51,1,,127,143,,10,,10.1623/hysj.51.1.127,https://www.scopus.com/inward/record.uri?eid=2-s2.0-32544460669&doi=10.1623%2fhysj.51.1.127&partnerID=40&md5=6b34dcfd1c05c5c8f000c271eaa20ee4,Article,Open Access,Scopus,2-s2.0-32544460669
"Price, C., Asfur, M.",7403076976;6506825008;,Inferred long term trends in lightning activity over Africa,2006,"Earth, Planets and Space",58,9,,1197,1201,,10,,10.1186/BF03352010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750623251&doi=10.1186%2fBF03352010&partnerID=40&md5=fbec0dd533d818714913a7e66b3e9867,Article,Open Access,Scopus,2-s2.0-33750623251
"PražÁkqyá, M., Fott, J., Veselý, J., Majer, V., KopáČek, J.",57195175319;6603421397;56872766200;7004445490;7005064347;,"The long-term succession of cladoceran fauna and palaeoclimate forcing: A 14,600Ȕyear record from Plešné Lake, the Bohemian Forest",2006,Biologia (Poland),61,20,,,,,10,,10.2478/s11756-007-0072-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026124109&doi=10.2478%2fs11756-007-0072-x&partnerID=40&md5=aff3bbbe76b4c6b365ab7ca8a61e553c,Article,Open Access,Scopus,2-s2.0-85026124109
"Baba, K., Minobe, S., Kimura, N., Wakatsuchi, M.",36888353700;35829589800;37665237100;57204380057;,Intraseasonal variability of sea-ice-concentration in the Antarctic with particular emphasis on wind effect,2006,Journal of Geophysical Research: Oceans,111,12, C12023,,,,9,,10.1029/2005JC003052,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34447576881&doi=10.1029%2f2005JC003052&partnerID=40&md5=228f7a7c19a383097891c235b12c0c2d,Article,Open Access,Scopus,2-s2.0-34447576881
"Sorteberg, A., Kvamstø, N.G.",9249236100;6602633306;,The effect of internal variability on anthropogenic climate projections,2006,"Tellus, Series A: Dynamic Meteorology and Oceanography",58,5,,565,574,,9,,10.1111/j.1600-0870.2006.00202.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748664371&doi=10.1111%2fj.1600-0870.2006.00202.x&partnerID=40&md5=2ea07e18916277efe99951a0abe36d8a,Article,Open Access,Scopus,2-s2.0-33748664371
"Zou, X., Alexander, L.V., Parker, D., Caesar, J.",55418454500;55829111000;13408504900;23007410400;,Variations in severe storms over China,2006,Geophysical Research Letters,33,17, L17701,,,,9,,10.1029/2006GL026131,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845608016&doi=10.1029%2f2006GL026131&partnerID=40&md5=c05225cb553359910f49596dd15b738e,Article,Open Access,Scopus,2-s2.0-33845608016
"Dhont, C., Castonguay, Y., Avice, J.-C., Chalifour, F.-P.",6507717569;56266360700;6602184227;6602900851;,VSP accumulation and cold-inducible gene expression during autumn hardening and overwintering of alfalfa,2006,Journal of Experimental Botany,57,10,,2325,2337,,9,,10.1093/jxb/erj204,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747871356&doi=10.1093%2fjxb%2ferj204&partnerID=40&md5=c7c5e5afb1c2fd84edf603268d494143,Article,Open Access,Scopus,2-s2.0-33747871356
"Chen, G.",36678677800;,A novel scheme for identifying principal modes in geophysical variability with application to global precipitation,2006,Journal of Geophysical Research Atmospheres,111,11, D11103,,,,9,,10.1029/2005JD006233,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746554287&doi=10.1029%2f2005JD006233&partnerID=40&md5=f44af4e2a9d7470f5cc25ed25f46ce65,Article,Open Access,Scopus,2-s2.0-33746554287
"Charlery, J., Nurse, L., Whitehall, K.",6505873096;10046036400;13406365400;,Exploring the relationship between the North Atlantic oscillation and rainfall patterns in Barbados,2006,International Journal of Climatology,26,6,,819,827,,9,,10.1002/joc.1334,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646453519&doi=10.1002%2fjoc.1334&partnerID=40&md5=ca84daa2ca67f6c7e8ad39bc8a964f01,Article,Open Access,Scopus,2-s2.0-33646453519
"Tang, X., Chen, B.",7404101295;7408607943;,Cloud types associated with the Asian summer monsoons as determined from MODIS/TERRA measurements and a comparison with surface observations,2006,Geophysical Research Letters,33,7, L07814,,,,9,,10.1029/2006GL026004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646827690&doi=10.1029%2f2006GL026004&partnerID=40&md5=467a42d3c8152316b0155b71dcf76aa0,Article,Open Access,Scopus,2-s2.0-33646827690
"Lim, G.-H., Suh, Y.-C., Kim, B.-M.",7101939964;14046153700;36015299300;,On the origin of the tropical Atlantic decadal oscillation based on the analysis of the ICOADS,2006,Quarterly Journal of the Royal Meteorological Society,132,617,,1139,1152,,9,,10.1256/qj.05.01,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746239477&doi=10.1256%2fqj.05.01&partnerID=40&md5=8f465f19b3de27d3f96a714e4578a24f,Article,Open Access,Scopus,2-s2.0-33746239477
"Barnes, P.R.F., Wolf, E.W., Mulvaney, R.",56565984100;7402940915;7004989957;,A 44 kyr paleoroughnes record of the Antarctic surface,2006,Journal of Geophysical Research Atmospheres,111,3, D03102,,,,9,,10.1029/2005JD006349,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646246773&doi=10.1029%2f2005JD006349&partnerID=40&md5=3ecd6a9915fcb329fe1b4416b8dd5e64,Article,Open Access,Scopus,2-s2.0-33646246773
"Witkowski, E.T.F., Lamont, B.B.",7005010313;24556291700;,"Resilience of two Banksia species to global change: Comparing results of bioclimatic modelling, demographic and translocation studies",2006,International Journal of Biodiversity Science and Management,2,2,,59,72,,9,,10.1080/17451590609618099,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750000646&doi=10.1080%2f17451590609618099&partnerID=40&md5=ff2b06039597103d36fc18dafe897022,Article,Open Access,Scopus,2-s2.0-33750000646
"Uchiyama, T., Mizuta, R., Kamiguchi, K., Kitoh, A., Noda, A.",15761630100;13404531500;8653276400;57200125795;7101817295;,Changes in temperature-based extremes indices due to global warming projected by a global 20-km-mesh atmospheric model,2006,Scientific Online Letters on the Atmosphere,2,,,68,71,,9,,10.2151/sola.2006-018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-42949150490&doi=10.2151%2fsola.2006-018&partnerID=40&md5=ad30779720368110e44c2263642899a6,Article,Open Access,Scopus,2-s2.0-42949150490
"Wang, X., Lu, H., Xu, H., Deng, C., Chen, T., Wang, X.",55736871800;26643608000;7407448207;7202303218;7405544838;52365300500;,Magnetic properties of loess deposits on the northeastern Qinghai-Tibetan Plateau: Palaeoclimatic implications for the Late Pleistocene,2006,Geophysical Journal International,167,3,,1138,1147,,8,,10.1111/j.1365-246X.2006.03007.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845324114&doi=10.1111%2fj.1365-246X.2006.03007.x&partnerID=40&md5=f17b5d678c5a5a7fbc4d44c2d679cc6d,Article,Open Access,Scopus,2-s2.0-33845324114
"Katsuta, N., Takano, M., Kawakami, S.-I., Togami, S., Fukusawa, H., Kumazawa, M., Yasuda, Y.",15829548600;7402422820;7201666708;6506051138;6601917083;7005414806;7201679882;,Climate system transition from glacial to interglacial state around the beginning of the last termination: Evidence from a centennial- to millennial-scale climate rhythm,2006,"Geochemistry, Geophysics, Geosystems",7,12, Q12006,,,,8,,10.1029/2006GC001310,https://www.scopus.com/inward/record.uri?eid=2-s2.0-71749119425&doi=10.1029%2f2006GC001310&partnerID=40&md5=5dfa86208e060e77d95eb885d5407a82,Article,Open Access,Scopus,2-s2.0-71749119425
"Jutla, A.S., Small, D., Islam, S.",16309699700;36947163700;7202013013;,A precipitation dipole in eastern North America,2006,Geophysical Research Letters,33,21, L21703,,,,8,,10.1029/2006GL027500,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248515402&doi=10.1029%2f2006GL027500&partnerID=40&md5=9c4aa028756bc81b269c4f9feb7dae23,Article,Open Access,Scopus,2-s2.0-34248515402
"Robinson, D.P., Black, R.X., McDaniel, B.A.",8906059800;7402324853;8930077800;,A Siberian precursor to midwinter intraseasonal variability in the North Pacific storm track,2006,Geophysical Research Letters,33,15, L15811,,,,8,,10.1029/2006GL026458,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845603006&doi=10.1029%2f2006GL026458&partnerID=40&md5=48e71ac6b836d8b80f1f20274f4a47c8,Article,Open Access,Scopus,2-s2.0-33845603006
"Svensson, C.J., Johansson, E., Åberg, P.",7202512585;56371236400;7004079979;,Competing species in a changing climate: Effects of recruitment disturbances on two interacting barnacle species,2006,Journal of Animal Ecology,75,3,,765,776,,8,,10.1111/j.1365-2656.2006.01097.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646540399&doi=10.1111%2fj.1365-2656.2006.01097.x&partnerID=40&md5=0f98b21c2a3258e0f2e9f03b19370973,Article,Open Access,Scopus,2-s2.0-33646540399
"Russell, A., McGregor, G.R., Marshall, G.J.",35559590900;7004958888;7402287546;,340 years of atmospheric circulation characteristics reconstructed from an eastern Antarctic Peninsula ice core,2006,Geophysical Research Letters,33,8, L08702,,,,8,,10.1029/2006GL025899,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745442807&doi=10.1029%2f2006GL025899&partnerID=40&md5=36e011f1741d937bb57df94a1f9443cc,Article,Open Access,Scopus,2-s2.0-33745442807
"Grodsky, S.A., Carton, J.A.",6701508198;7006245928;,Influence of the tropics on the climate of the South Atlantic,2006,Geophysical Research Letters,33,6, L06719,,,,8,,10.1029/2005GL025153,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646456514&doi=10.1029%2f2005GL025153&partnerID=40&md5=f4b58ad2bb681562e2eb70727eaf7ddc,Article,Open Access,Scopus,2-s2.0-33646456514
"Vicente-Serrano, S.M., Delbart, N., Le Toan, T., Grippa, M.",6603647965;8569783900;55664597400;6603490041;,El Niño-Southern Oscillation influences on the interannual variability of leaf appearance dates in central Siberia,2006,Geophysical Research Letters,33,3, L03707,,,,8,,10.1029/2005GL025000,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645829083&doi=10.1029%2f2005GL025000&partnerID=40&md5=bc3a02eb5ebe9a4fed38eece54e95524,Article,Open Access,Scopus,2-s2.0-33645829083
"Drosdowsky, W.",6602214992;,Statistical prediction of ENSO (Nino 3) using sub-surface temperature data,2006,Geophysical Research Letters,33,3, L03710,,,,8,,10.1029/2005GL024866,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645837040&doi=10.1029%2f2005GL024866&partnerID=40&md5=f87fe5b2411f53f97ae281a83c4927b1,Article,Open Access,Scopus,2-s2.0-33645837040
"TÁtosová, J., Veselý, J., Stuchlí, E.",53982079400;56872766200;57195177514;,"Holocene subfossil chironomid stratigraphy (Diptera: Chironomidae) in the sediment of Plešné Lake (the Bohemian Forest, Czech Republic): Palaeoenvironmental implications",2006,Biologia (Poland),61,20,,,,,8,,10.2478/s11756-007-0076-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67349220493&doi=10.2478%2fs11756-007-0076-6&partnerID=40&md5=6b0d17fcf66afeb585aedf969e319049,Article,Open Access,Scopus,2-s2.0-67349220493
"Whitfield, P.H., Hendrata, M.",7006689358;13405149600;,Assessing detectability of change in low flows in future climates from stage discharge measurements,2006,Canadian Water Resources Journal,31,1,,1,12,,8,,10.4296/cwrj3101001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646389566&doi=10.4296%2fcwrj3101001&partnerID=40&md5=ca976808c4c8198f139b227b1102ac5a,Article,Open Access,Scopus,2-s2.0-33646389566
"Stuut, W., Marchant, M., Kaiser, J., Laniy, F., Mohtadi, M., Romero, O., Hebbeln, D.",57190928383;7004538610;7402184818;57190928419;13403332600;7004543218;7004836892;,The late quaternary paleoenvironment of chile as seen from marine archives [Le palèoenvironnement du chili au quaternaire rècent reconstituè á partir de sèdiments marins],2006,Geographica Helvetica,61,2,,135,151,,8,,10.5194/gh-61-135-2006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984408728&doi=10.5194%2fgh-61-135-2006&partnerID=40&md5=60e4b1c8e6e270808a24a34b0152c078,Article,Open Access,Scopus,2-s2.0-84984408728
"Allen, J.I., Archer, S.D., Blackford, J.C., Gilbert, F.J., Taylor, A.H.",7406423537;7202456388;7005000019;7101783397;35588596400;,Changes in DMS production and flux in relation to decadal shifts in ocean circulation,2006,"Tellus, Series B: Chemical and Physical Meteorology",58,3,,242,254,,7,,10.1111/j.1600-0889.2006.00183.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745028817&doi=10.1111%2fj.1600-0889.2006.00183.x&partnerID=40&md5=976bf8140318a2f223634e7fb179bcfe,Article,Open Access,Scopus,2-s2.0-33745028817
"McCabe, G.J., Clark, M.P.",7006820544;35453194100;,Shifting covariability of North American summer monsoon precipitation with antecedent winter precipitation,2006,International Journal of Climatology,26,8,,991,999,,7,,10.1002/joc.1304,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745614861&doi=10.1002%2fjoc.1304&partnerID=40&md5=545907bbc4f91e92c08388e806060840,Article,Open Access,Scopus,2-s2.0-33745614861
"Matter-Walstra, K., Widmer, M., Busato, A.",57194126989;56250638000;7006678871;,Seasonal variation in orthopedic health services utilization in Switzerland: The impact of winter sport tourism,2006,BMC Health Services Research,6,,25,,,,7,,10.1186/1472-6963-6-25,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645572362&doi=10.1186%2f1472-6963-6-25&partnerID=40&md5=60d6468275adb066bb7ac8377c38151f,Article,Open Access,Scopus,2-s2.0-33645572362
"Perry, C.A.",7402124779;,"Midwestern streamflow, precipitation, and atmospheric vorticity influenced by Pacific sea-surface temperatures and total solar-irradiance variations",2006,International Journal of Climatology,26,2,,207,218,,7,,10.1002/joc.1248,https://www.scopus.com/inward/record.uri?eid=2-s2.0-32544453009&doi=10.1002%2fjoc.1248&partnerID=40&md5=fcb3ea57c05d136fcd642ce076cba6c8,Article,Open Access,Scopus,2-s2.0-32544453009
"Bauer, E., Claussen, M.",36058191800;7007051716;,Analyzing seasonal temperature trends in forced climate simulations of the past millennium,2006,Geophysical Research Letters,33,2, L02702,,,,7,,10.1029/2005GL024593,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644779097&doi=10.1029%2f2005GL024593&partnerID=40&md5=87f5d78b474c099afeb62b7938fe689a,Article,Open Access,Scopus,2-s2.0-33644779097
"Vavrus, S.",6602174893;,An alternative method to calculate cloud radiative forcing: Implications for quantifying cloud feedbacks,2006,Geophysical Research Letters,33,1,,,,,7,,10.1029/2005GL024723,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644631351&doi=10.1029%2f2005GL024723&partnerID=40&md5=123ed1054dc3c2309f92eef2e8743c7d,Article,Open Access,Scopus,2-s2.0-33644631351
